match_year,match_id,map_name,map_winner,winning_team_final_map_score,winning_team_win_rate,map_loser,losing_team_final_map_score,losing_team_win_rate
2018,10223,Dorado,Los Angeles Valiant,3,0.6,San Francisco Shock,2,0.4
2018,10223,Temple of Anubis,Los Angeles Valiant,4,0.5714285714285714,San Francisco Shock,3,0.4285714285714286
2018,10223,Ilios,Los Angeles Valiant,2,0.6666666666666666,San Francisco Shock,1,0.33333333333333337
2018,10223,Numbani,Los Angeles Valiant,2,0.6666666666666666,San Francisco Shock,1,0.33333333333333337
2018,10224,Dorado,Los Angeles Gladiators,1,1.0,Shanghai Dragons,0,0.0
2018,10224,Temple of Anubis,Los Angeles Gladiators,2,0.6666666666666666,Shanghai Dragons,1,0.33333333333333337
2018,10224,Ilios,Los Angeles Gladiators,2,1.0,Shanghai Dragons,0,0.0
2018,10224,Eichenwalde,Los Angeles Gladiators,1,1.0,Shanghai Dragons,0,0.0
2018,10225,Junkertown,Dallas Fuel,3,0.6,Seoul Dynasty,2,0.4
2018,10225,Temple of Anubis,Seoul Dynasty,6,0.5454545454545454,Dallas Fuel,5,0.4545454545454546
2018,10225,Ilios,Seoul Dynasty,2,1.0,Dallas Fuel,0,0.0
2018,10225,Numbani,draw,3,0.5,draw,3,0.5
2018,10226,Dorado,Florida Mayhem,2,0.6666666666666666,London Spitfire,1,0.33333333333333337
2018,10226,Temple of Anubis,London Spitfire,2,0.6666666666666666,Florida Mayhem,1,0.33333333333333337
2018,10226,Oasis,London Spitfire,2,1.0,Florida Mayhem,0,0.0
2018,10226,Numbani,London Spitfire,3,1.0,Florida Mayhem,0,0.0
2018,10227,Dorado,Philadelphia Fusion,3,0.6,Houston Outlaws,2,0.4
2018,10227,Horizon Lunar Colony,Houston Outlaws,2,0.6666666666666666,Philadelphia Fusion,1,0.33333333333333337
2018,10227,Oasis,Philadelphia Fusion,2,1.0,Houston Outlaws,0,0.0
2018,10227,Eichenwalde,Houston Outlaws,4,0.5714285714285714,Philadelphia Fusion,3,0.4285714285714286
2018,10227,Lijiang Tower,Philadelphia Fusion,2,1.0,Houston Outlaws,0,0.0
2018,10228,Junkertown,New York Excelsior,3,0.6,Boston Uprising,2,0.4
2018,10228,Horizon Lunar Colony,Boston Uprising,4,0.5714285714285714,New York Excelsior,3,0.4285714285714286
2018,10228,Ilios,New York Excelsior,2,1.0,Boston Uprising,0,0.0
2018,10228,Numbani,New York Excelsior,2,0.6666666666666666,Boston Uprising,1,0.33333333333333337
2018,10229,Junkertown,Los Angeles Valiant,8,0.5333333333333333,Dallas Fuel,7,0.4666666666666667
2018,10229,Horizon Lunar Colony,draw,5,0.5,draw,5,0.5
2018,10229,Ilios,Los Angeles Valiant,2,1.0,Dallas Fuel,0,0.0
2018,10229,Numbani,Los Angeles Valiant,3,1.0,Dallas Fuel,0,0.0
2018,10230,Dorado,Boston Uprising,3,0.6,Florida Mayhem,2,0.4
2018,10230,Temple of Anubis,Boston Uprising,3,0.6,Florida Mayhem,2,0.4
